event_id,event_url,event_slug,event_name,event_date_local,category,location,country,region,first_seen_at_utc,last_seen_at_utc,status
ambrosia-ecstatic-rave-amsterdam-het-sieraad-2026-05-02-CZrFLwCEBUAnNPhER1ZJq,https://www.ticketswap.com/festival-tickets/ambrosia-ecstatic-rave-amsterdam-het-sieraad-2026-05-02-CZrFLwCEBUAnNPhER1ZJq,ambrosia-ecstatic-rave-amsterdam-het-sieraad-2026-05-02-CZrFLwCEBUAnNPhER1ZJq,Ambrosia Ecstatic Rave Amsterdam Het Sieraad,2026-05-02,festival,Amsterdam,Netherlands,Western Europe,2026-05-01T18:39:53Z,2026-05-01T18:39:53Z,active
ij-hallen-3-mei-2026-amsterdam-ij-hallen-2026-05-03-CWwqVLR2PY1aSq5oReCbu,https://www.ticketswap.com/festival-tickets/ij-hallen-3-mei-2026-amsterdam-ij-hallen-2026-05-03-CWwqVLR2PY1aSq5oReCbu,ij-hallen-3-mei-2026-amsterdam-ij-hallen-2026-05-03-CWwqVLR2PY1aSq5oReCbu,Ij Hallen 3 Mei 2026 Amsterdam Ij Hallen,2026-05-03,festival,Amsterdam,Netherlands,Western Europe,2026-05-01T18:39:35Z,2026-05-01T18:39:35Z,active
de-amsterdamse-zomer-2026-4-juli-amsterdam-het-olympisch-stadion-2026-07-04-W5KQ36Rwra75a8E6jPJikY,https://www.ticketswap.com/festival-tickets/de-amsterdamse-zomer-2026-4-juli-amsterdam-het-olympisch-stadion-2026-07-04-W5KQ36Rwra75a8E6jPJikY,de-amsterdamse-zomer-2026-4-juli-amsterdam-het-olympisch-stadion-2026-07-04-W5KQ36Rwra75a8E6jPJikY,De Amsterdamse Zomer 2026 4 Juli Amsterdam Het Olympisch Stadion,2026-07-04,festival,Amsterdam,Netherlands,Western Europe,2026-05-01T18:39:44Z,2026-05-01T18:39:44Z,active
vunzige-deuntjes-festival-2026-amstelveen-amsterdamse-bos-2026-07-04-CYMXHuPnkq5z3dbCmyPZb,https://www.ticketswap.com/festival-tickets/vunzige-deuntjes-festival-2026-amstelveen-amsterdamse-bos-2026-07-04-CYMXHuPnkq5z3dbCmyPZb,vunzige-deuntjes-festival-2026-amstelveen-amsterdamse-bos-2026-07-04-CYMXHuPnkq5z3dbCmyPZb,Vunzige Deuntjes Festival 2026 Amstelveen Amsterdamse Bos,2026-07-04,festival,Amsterdam,Netherlands,Western Europe,2026-05-01T18:39:39Z,2026-05-01T18:39:39Z,active
no-art-opening-festival-2026-amsterdam-sportpark-riekerhaven-2026-07-18-CZAwG7f99GH8sM24HJ77c,https://www.ticketswap.com/festival-tickets/no-art-opening-festival-2026-amsterdam-sportpark-riekerhaven-2026-07-18-CZAwG7f99GH8sM24HJ77c,no-art-opening-festival-2026-amsterdam-sportpark-riekerhaven-2026-07-18-CZAwG7f99GH8sM24HJ77c,No Art Opening Festival 2026 Amsterdam Sportpark Riekerhaven,2026-07-18,festival,Amsterdam,Netherlands,Western Europe,2026-05-01T18:39:49Z,2026-05-01T18:39:49Z,active
awakenings-festival-2026-hilvarenbeek-beekse-bergen-2026-07-10-TXJX6gNaqqsGTTbeAH4xcK,https://www.ticketswap.com/festival-tickets/awakenings-festival-2026-hilvarenbeek-beekse-bergen-2026-07-10-TXJX6gNaqqsGTTbeAH4xcK,,,,,,,,,,
kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4,https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4,,,,,,,,,,
lowlands-festival-2026-biddinghuizen-evenemententerrein-walibi-2026-08-21-CXs82oTdyTQt451dm2umh,https://www.ticketswap.com/festival-tickets/lowlands-festival-2026-biddinghuizen-evenemententerrein-walibi-2026-08-21-CXs82oTdyTQt451dm2umh,,,,,,,,,,
soenda-festival-2026-utrecht-ruigenhoekse-polder-2026-05-30-5D4Kfqx4CYJuQi9gUvyyno,https://www.ticketswap.com/festival-tickets/soenda-festival-2026-utrecht-ruigenhoekse-polder-2026-05-30-5D4Kfqx4CYJuQi9gUvyyno,,,,,,,,,,
bregepop-festival-2026-scharsterbrug-bregepop-festival-2026-04-10-CVYfnnWQyvw13auJV5XYS,https://www.ticketswap.com/festival-tickets/bregepop-festival-2026-scharsterbrug-bregepop-festival-2026-04-10-CVYfnnWQyvw13auJV5XYS,,,,,,,,,,
music-on-festival-2026-amsterdam-meerpark-2026-05-09-CUfJVG9ggm76WkYpo1Fqe,https://www.ticketswap.com/festival-tickets/music-on-festival-2026-amsterdam-meerpark-2026-05-09-CUfJVG9ggm76WkYpo1Fqe,,,,,,,,,,
