ms_snapshot_id,ms_ticket_url_id,ms_ticket_url,ms_scraped_at_utc,ms_status,ms_error_message,ms_event_name,ms_event_url,ms_venue,ms_city,ms_country,ms_event_date_local,ms_ticket_type_label,ms_currency,ms_listing_count,ms_wanted_count,ms_sold_count,ms_lowest_ask,ms_highest_ask,ms_median_ask,ms_average_ask,ms_new_listings_since_prev,ms_removed_listings_since_prev,ms_estimated_sale_speed_listings_per_hour,ms_raw_debug_json,ls_listing_snapshot_id,ls_listing_fingerprint,ls_quantity,ls_price_per_ticket,ls_currency,ls_raw_text,ls_seller_hint
1,1,https://www.ticketswap.com/festival-tickets/awakenings-festival-2026-hilvarenbeek-beekse-bergen-2026-07-10-TXJX6gNaqqsGTTbeAH4xcK/sunday-ticket-early-bird/5601999,2026-04-09T18:19:40Z,blocked,verification_page_detected,,,,,,,,,,,,,,,,,,,"{""page_title"": ""Awakenings Festival 2026 – Buy and sell tickets – TicketSwap"", ""url"": ""https://www.ticketswap.com/festival-tickets/awakenings-festival-2026-hilvarenbeek-beekse-bergen-2026-07-10-TXJX6gNaqqsGTTbeAH4xcK/sunday-ticket-early-bird/5601999""}",,,,,,,
2,2,https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356,2026-04-10T13:34:27Z,blocked,verification_page_detected,,,,,,,,,,,,,,,,,,,"{""page_title"": ""Kralingse Bos Festival 2026 – Buy and sell tickets – TicketSwap"", ""url"": ""https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356""}",,,,,,,
3,1,https://www.ticketswap.com/festival-tickets/awakenings-festival-2026-hilvarenbeek-beekse-bergen-2026-07-10-TXJX6gNaqqsGTTbeAH4xcK/sunday-ticket-early-bird/5601999,2026-04-10T13:36:07Z,blocked,verification_page_detected,,,,,,,,,,,,,,,,,,,"{""page_title"": ""Awakenings Festival 2026 – Buy and sell tickets – TicketSwap"", ""url"": ""https://www.ticketswap.com/festival-tickets/awakenings-festival-2026-hilvarenbeek-beekse-bergen-2026-07-10-TXJX6gNaqqsGTTbeAH4xcK/sunday-ticket-early-bird/5601999""}",,,,,,,
4,2,https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356,2026-04-10T13:54:06Z,blocked,verification_page_detected,,,,,,,,,,,,,,,,,,,"{""page_title"": ""Kralingse Bos Festival 2026 – Buy and sell tickets – TicketSwap"", ""url"": ""https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356""}",,,,,,,
5,2,https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356,2026-04-11T11:04:19Z,blocked,verification_page_detected,,,,,,,,,,,,,,,,,,,"{""page_title"": ""Kralingse Bos Festival 2026 – Buy and sell tickets – TicketSwap"", ""url"": ""https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356""}",,,,,,,
6,2,https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356,2026-04-11T11:08:18Z,blocked,verification_page_detected,,,,,,,,,,,,,,,,,,,"{""page_title"": ""Verifying"", ""url"": ""https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356""}",,,,,,,
7,2,https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356,2026-04-11T11:10:18Z,ok,,Kralingse Bos Festival 2026,,How to sell,Become a partner,Sell your tickets,2026-04-27,Koningsdag,EUR,7,90,21,50.7,62.82,56.21,57.62571428571429,,,,"{""url"": ""https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356"", ""page_title"": ""saved-html-replay"", ""prices_sample"": [50.7, 56.21, 56.21, 56.21, 58.41, 62.82, 62.82]}",1,https-www-ticketswap-com-listing-kralingse-bos-festival-2026-19745443-82c7258b7a-4-eur-50-70,4,50.7,EUR,"4 tickets Koningsdag ""(Ook per stuk te koop) We kunnen helaas zelf niet meer gaan, have fun!"" €50.70 / ticket",Avatar
7,2,https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356,2026-04-11T11:10:18Z,ok,,Kralingse Bos Festival 2026,,How to sell,Become a partner,Sell your tickets,2026-04-27,Koningsdag,EUR,7,90,21,50.7,62.82,56.21,57.62571428571429,,,,"{""url"": ""https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356"", ""page_title"": ""saved-html-replay"", ""prices_sample"": [50.7, 56.21, 56.21, 56.21, 58.41, 62.82, 62.82]}",2,https-www-ticketswap-com-listing-kralingse-bos-festival-2026-19724855-2d356127ea-4-eur-56-21,4,56.21,EUR,"4 tickets Koningsdag ""Groepsticket. We hebben besloten ergens anders heen te gaan."" €56.21 / ticket",Avatar
7,2,https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356,2026-04-11T11:10:18Z,ok,,Kralingse Bos Festival 2026,,How to sell,Become a partner,Sell your tickets,2026-04-27,Koningsdag,EUR,7,90,21,50.7,62.82,56.21,57.62571428571429,,,,"{""url"": ""https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356"", ""page_title"": ""saved-html-replay"", ""prices_sample"": [50.7, 56.21, 56.21, 56.21, 58.41, 62.82, 62.82]}",3,https-www-ticketswap-com-listing-kralingse-bos-festival-2026-19739080-0be640a9cb-3-eur-56-21,3,56.21,EUR,3 tickets Koningsdag €56.21 / ticket,Avatar
7,2,https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356,2026-04-11T11:10:18Z,ok,,Kralingse Bos Festival 2026,,How to sell,Become a partner,Sell your tickets,2026-04-27,Koningsdag,EUR,7,90,21,50.7,62.82,56.21,57.62571428571429,,,,"{""url"": ""https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356"", ""page_title"": ""saved-html-replay"", ""prices_sample"": [50.7, 56.21, 56.21, 56.21, 58.41, 62.82, 62.82]}",4,https-www-ticketswap-com-listing-kralingse-bos-festival-2026-19743070-8c18f1f9a8-1-eur-56-21,1,56.21,EUR,"1 ticket Koningsdag ""konings dag ticket te koop ik ga niet meer"" €56.21 / ticket",Avatar
7,2,https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356,2026-04-11T11:10:18Z,ok,,Kralingse Bos Festival 2026,,How to sell,Become a partner,Sell your tickets,2026-04-27,Koningsdag,EUR,7,90,21,50.7,62.82,56.21,57.62571428571429,,,,"{""url"": ""https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356"", ""page_title"": ""saved-html-replay"", ""prices_sample"": [50.7, 56.21, 56.21, 56.21, 58.41, 62.82, 62.82]}",5,https-www-ticketswap-com-listing-kralingse-bos-festival-2026-19732772-39c835aca0-1-eur-58-41,1,58.41,EUR,"1 ticket Koningsdag ""Ik wil mijn ticket verkopen."" €58.41 / ticket",Avatar
7,2,https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356,2026-04-11T11:10:18Z,ok,,Kralingse Bos Festival 2026,,How to sell,Become a partner,Sell your tickets,2026-04-27,Koningsdag,EUR,7,90,21,50.7,62.82,56.21,57.62571428571429,,,,"{""url"": ""https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356"", ""page_title"": ""saved-html-replay"", ""prices_sample"": [50.7, 56.21, 56.21, 56.21, 58.41, 62.82, 62.82]}",6,https-www-ticketswap-com-listing-kralingse-bos-festival-2026-18946528-1aa2b21303-1-eur-62-82,1,62.82,EUR,"1 ticket Koningsdag ""Have Fun"" €62.82 / ticket",Avatar
7,2,https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356,2026-04-11T11:10:18Z,ok,,Kralingse Bos Festival 2026,,How to sell,Become a partner,Sell your tickets,2026-04-27,Koningsdag,EUR,7,90,21,50.7,62.82,56.21,57.62571428571429,,,,"{""url"": ""https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356"", ""page_title"": ""saved-html-replay"", ""prices_sample"": [50.7, 56.21, 56.21, 56.21, 58.41, 62.82, 62.82]}",7,https-www-ticketswap-com-listing-kralingse-bos-festival-2026-19588580-5a17ddbf00-1-eur-62-82,1,62.82,EUR,"1 ticket Koningsdag ""ticket over iemand heeft afgezegd"" €62.82 / ticket",Avatar
8,2,https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356,2026-04-11T11:36:24Z,ok,,Kralingse Bos Festival 2026,,Kralingse Bos Festival 2026,Kralingse Bos,Rotterdam,2026-04-27,Koningsdag,EUR,7,91,23,50.7,62.82,56.21,57.46857142857142,,,,"{""url"": ""https://www.ticketswap.com/festival-tickets/kralingse-bos-festival-2026-rotterdam-kralingse-bos-2026-04-26-CYZPHLwGXot6LZ23j3Ee4/koningsdag/5923356"", ""page_title"": ""Kralingse Bos Festival 2026 – Buy and sell tickets – TicketSwap"", ""prices_sample"": [50.7, 55.11, 56.21, 56.21, 58.41, 62.82, 62.82]}",8,https-www-ticketswap-com-listing-kralingse-bos-festival-2026-19745443-82c7258b7a-3-eur-50-70,3,50.7,EUR,"3 tickets Koningsdag ""(Ook per stuk te koop) We kunnen helaas zelf niet meer gaan, have fun!"" €50.70 / ticket",Avatar
