event_name,ticket_type_label,event_date_local,city,country,scraped_at_utc,listing_count,sold_count,wanted_count,lowest_ask,median_ask,highest_ask,average_ask
,,,,,2026-04-09T18:19:40Z,,,,,,,
,,,,,2026-04-10T13:34:27Z,,,,,,,
,,,,,2026-04-10T13:36:07Z,,,,,,,
,,,,,2026-04-10T13:54:06Z,,,,,,,
,,,,,2026-04-11T11:04:19Z,,,,,,,
,,,,,2026-04-11T11:08:18Z,,,,,,,
Kralingse Bos Festival 2026,Koningsdag,2026-04-27,Become a partner,Sell your tickets,2026-04-11T11:10:18Z,7,21,90,50.7,56.21,62.82,57.62571428571429
Kralingse Bos Festival 2026,Koningsdag,2026-04-27,Kralingse Bos,Rotterdam,2026-04-11T11:36:24Z,7,23,91,50.7,56.21,62.82,57.46857142857142
Kralingse Bos Festival 2026,Koningsnacht,2026-04-26,Kralingse Bos,Rotterdam,2026-04-11T11:36:33Z,2,14,72,41.88,44.085,46.29,44.085
Kralingse Bos Festival 2026,Early Entrance | Koningsdag,2026-04-27,Kralingse Bos,Rotterdam,2026-04-11T11:36:44Z,4,5,71,55.11,57.31,59.51,57.31
Kralingse Bos Festival 2026,Combiticket: Kingsnight + Kingsday,,Kralingse Bos,Rotterdam,2026-04-11T11:36:55Z,0,0,68,,,,
Soenda Festival 2026,Regular,2026-05-30,Ruigenhoekse Polder,Utrecht,2026-04-11T11:37:05Z,20,,1647,98.09,104.7,108.01,103.80250000000001
Awakenings Festival 2026,Sunday Ticket - Early Bird,2026-07-12,Beekse Bergen,Hilvarenbeek,2026-04-11T11:37:16Z,14,17,2081,98.7,100.45,100.45,100.235
Lowlands Festival 2026,Weekend,,Evenemententerrein Walibi,Biddinghuizen,2026-04-11T11:37:25Z,0,0,1764,,,,
